LncRNA	GenBank	GenBank Link	NONCODE ID	NONCODE Link	Phenotype	OMIM ID	OMIM Link	Enviromental Factor (EF)	KEGG Entry	KEGG Link	DrugBank Entry	DrugBank Link	ChEBI Entry	ChEBI Link	Condition of EF	Sample	Species	Evidence	PubMed ID	PumMed Link		
AC012668.2	AC012668.2	https://www.ncbi.nlm.nih.gov/nuccore/AC012668.2	N/A	N/A	Asthma	600807	http://www.omim.org/entry/600807?search=asthma&highlight=asthma	Foetal Calf Serum (FCS)	N/A	N/A	N/A	N/A	N/A	N/A	FCS treatment	ASM cells	Human	down-regulated	24886442	https://www.ncbi.nlm.nih.gov/pubmed/?term=24886442		
AC015818.3	AC015818.3	https://www.ncbi.nlm.nih.gov/nuccore/AC015818.3	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC018647.3	AC018647.3	https://www.ncbi.nlm.nih.gov/nuccore/AC018647.3	N/A	N/A	Atherosclerosis	108725	http://www.omim.org/entry/108725?search=Atherosclerosis&highlight=atherosclerosi%20atherosclerotic	Platelet-Derived Growth Factor (PDGF)	N/A	N/A	DB00102	https://www.drugbank.ca/drugs/DB00102			PDGF stimulation	human saphenous vein¨Cderived endothelial cells (HSVECs)?	Human	down-regulated	27052414	https://www.ncbi.nlm.nih.gov/pubmed/?term=27052414		
AC018647.3	AC018647.3	https://www.ncbi.nlm.nih.gov/nuccore/AC018647.3	N/A	N/A	Atherosclerosis	108725	http://www.omim.org/entry/108725?search=Atherosclerosis&highlight=atherosclerosi%20atherosclerotic	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	human saphenous vein¨Cderived endothelial cells (HSVECs)?	Human	down-regulated	27052414	https://www.ncbi.nlm.nih.gov/pubmed/?term=27052414		
AC019109.1	AC019109.1	https://www.ncbi.nlm.nih.gov/nuccore/AC019109.1	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	up-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC022596.2	AC022596.2	https://www.ncbi.nlm.nih.gov/nuccore/AC022596.2	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC022596.6	AC022596.6	https://www.ncbi.nlm.nih.gov/nuccore/AC022596.6	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC022816.2	AC022816.2	https://www.ncbi.nlm.nih.gov/nuccore/AC022816.2	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	up-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC022816.2	AC022816.2	https://www.ncbi.nlm.nih.gov/nuccore/AC022816.2	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	up-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC023115.3	AC023115.3	https://www.ncbi.nlm.nih.gov/nuccore/AC023115.3	N/A	N/A	Glioblastoma	137800	http://www.omim.org/entry/137800?search=Glioblastoma&highlight=glioblastoma	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Human glioma cell lines U87MG and U251MG	Human	AC023115.3 is induced by cisplatin in human glioblastoma cells and that elevated AC023115.3 promotes cisplatin-induced apoptosis by inhibiting autophagy.	28499919	https://www.ncbi.nlm.nih.gov/pubmed/?term=28499919		
AC074363.1	AC074363.1	https://www.ncbi.nlm.nih.gov/nuccore/AC074363.1	N/A	N/A	Asthma	600807	http://www.omim.org/entry/600807?search=asthma&highlight=asthma	Dexamethasone	D00292	http://www.genome.jp/dbget-bin/www_bget?drug:D00292	DB01234	https://www.drugbank.ca/drugs/DB01234	41879	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=41879	Dexamethasone +?FCS treatment	ASM cells	Human	down-regulated	24886442	https://www.ncbi.nlm.nih.gov/pubmed/?term=24886442		
AC074363.1	AC074363.1	https://www.ncbi.nlm.nih.gov/nuccore/AC074363.1	N/A	N/A	Asthma	600807	http://www.omim.org/entry/600807?search=asthma&highlight=asthma	Foetal Calf Serum (FCS)	N/A	N/A	N/A	N/A	N/A	N/A	FCS treatment	ASM cells	Human	down-regulated	24886442	https://www.ncbi.nlm.nih.gov/pubmed/?term=24886442		
AC083843.1	AC083843.1	https://www.ncbi.nlm.nih.gov/nuccore/AC083843.1	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	down-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC092835.2	AC092835.2	https://www.ncbi.nlm.nih.gov/nuccore/AC092835.2	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	down-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC098973.2	AC098973.2	https://www.ncbi.nlm.nih.gov/nuccore/AC098973.2	N/A	N/A	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Dihydrotestosterone (DHT)	D07456	http://www.genome.jp/dbget-bin/www_bget?drug:D07456	DB02901	https://www.drugbank.ca/drugs/DB02901	16330	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16330	DHT treatment	LNCaP cell line	Human	down-regulated	27556357	https://www.ncbi.nlm.nih.gov/pubmed/?term=27556357		
AC144449.1	AC144449.1	https://www.ncbi.nlm.nih.gov/nuccore/AC144449.1	N/A	N/A	Hepatocellular Carcinoma	114550	http://www.omim.org/entry/114550?search=HCC&highlight=hcc	Hepatitis B Virus	N/A	N/A	N/A	N/A	N/A	N/A	Hepatitis B Viral infection	HCC and normal tissues.	Human	Compared with normal tissues, AC144449.1 (fold change: 27.20) was the most under-expressed lncRNAs in HCC tissues.	27769059	https://www.ncbi.nlm.nih.gov/pubmed/?term=27769059		
ADAMTS9-AS2	NR_038264.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_038264.1	NONHSAT090262.2	http://www.noncode.org/show_rna.php?id=NONHSAT090262&version=2&utd=1#	Glioma	137800	http://www.omim.org/entry/137800?search=Glioblastoma&highlight=glioblastoma	5-Aza-2-deoxycytidine (5-Aza-dc)	D03665	http://www.genome.jp/dbget-bin/www_bget?drug:D03665	DB01262	https://www.drugbank.ca/drugs/DB01262	50131	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=50131	5-Aza-dc treatment	U87 and T98G cell lines	Human	In both U87 and T98G cells, ADAMTS9-AS2 expression levels were evidently increased in 5-aza-dC groups compared with control groups.?	24833086	https://www.ncbi.nlm.nih.gov/pubmed/?term=24833086		
ADAMTS9-AS2	NR_038264.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_038264.1	NONHSAT090262.2	http://www.noncode.org/show_rna.php?id=NONHSAT090262&version=2&utd=1#	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Dihydrotestosterone (DHT)	D07456	http://www.genome.jp/dbget-bin/www_bget?drug:D07456	DB02901	https://www.drugbank.ca/drugs/DB02901	16330	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16330	DHT treatment	LNCaP cell line	Human	down-regulated	27556357	https://www.ncbi.nlm.nih.gov/pubmed/?term=27556357		
AF085935	AF085935	http://www.ncbi.nlm.nih.gov/nuccore/AF085935	N/A	N/A	Hepatocellular Carcinoma	114550	http://www.omim.org/entry/114550?search=HCC&highlight=hcc	Hepatitis B Virus	N/A	N/A	N/A	N/A	N/A	N/A	Hepatitis B Viral infection	HCC and HBV patients	Human	up-regulated	25501706	https://www.ncbi.nlm.nih.gov/pubmed/?term=25501706		
AF086415	AF086415	https://www.ncbi.nlm.nih.gov/nuccore/AF086415	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Curcumin	C10443	http://www.kegg.jp/dbget-bin/www_bget?C10443	DB11672	https://www.drugbank.ca/drugs/DB11672	3962	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=3962	Curcumin treatment	CNE-2 cell line	Human	6 IR-induced and Cur-reversed differentially expressed lncRNAs were confirmed by qPCR. 	24379026	https://www.ncbi.nlm.nih.gov/pubmed/?term=24379026		
AF086415	AF086415	https://www.ncbi.nlm.nih.gov/nuccore/AF086415	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Radiation	N/A	N/A	N/A	N/A	N/A	N/A	Radiation treatment	CNE-2 cell line	Human	6 IR-induced and Cur-reversed differentially expressed lncRNAs were confirmed by qPCR. 	24379026	https://www.ncbi.nlm.nih.gov/pubmed/?term=24379026		
AF118081	AF118081	https://www.ncbi.nlm.nih.gov/nuccore/AF118081	N/A	N/A	Lung Cancer	211980	http://www.omim.org/entry/211980?search=Lung%20Adenocarcinoma&highlight=lung%20pulmonary%20adenocarcinomatous%20adenocarcinoma%20pulmonic	BPDE	C14853	http://www.genome.jp/dbget-bin/www_bget?cpd:C14853	N/A	N/A	30614	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30614	BPDE exposure	16HBE-T cell line	Human	LncRNA AF118081 was identified as the most significantly overexpressed lncRNA in 16HBE-T cells.AF118081 knockdown inhibited cell invasion.growth and tumor	25050996	https://www.ncbi.nlm.nih.gov/pubmed/?term=25050996		
AF159100	AF159100	https://www.ncbi.nlm.nih.gov/nuccore/AF159100	N/A	N/A	Lung Fibrosis	178500	http://www.omim.org/entry/178500?search=Lung%20Fibrosis&highlight=pulmonary%20lung%20fibrosi%20pulmonic	Bleomycin	C06854	http://www.genome.jp/dbget-bin/www_bget?cpd:C06854	DB00290	https://www.drugbank.ca/drugs/DB00290	22907	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=22907	Bleomycin treatment (5 mg/kg)	Sprague Dawley (SD) rats	Mouse	down-regulated	23732278	https://www.ncbi.nlm.nih.gov/pubmed/?term=23732278		
AF352172	AF352172	https://www.ncbi.nlm.nih.gov/nuccore/AF352172	N/A	N/A	Lung Fibrosis	178500	http://www.omim.org/entry/178500?search=Lung%20Fibrosis&highlight=pulmonary%20lung%20fibrosi%20pulmonic	Bleomycin	C06854	http://www.genome.jp/dbget-bin/www_bget?cpd:C06854	DB00290	https://www.drugbank.ca/drugs/DB00290	22907	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=22907	Bleomycin treatment (5 mg/kg)	Sprague Dawley (SD) rats	Mouse	down-regulated	23732278	https://www.ncbi.nlm.nih.gov/pubmed/?term=23732278		
AFAP1-AS1	NR_026892.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_026892.1	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AJ005396	AJ005396	https://www.ncbi.nlm.nih.gov/nuccore/AJ005396	N/A	N/A	Lung Fibrosis	178500	http://www.omim.org/entry/178500?search=Lung%20Fibrosis&highlight=pulmonary%20lung%20fibrosi%20pulmonic	Bleomycin	C06854	http://www.genome.jp/dbget-bin/www_bget?cpd:C06854	DB00290	https://www.drugbank.ca/drugs/DB00290	22907	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=22907	Bleomycin treatment (5 mg/kg)	Sprague Dawley (SD) rats	Mouse	up-regulated	23732278	https://www.ncbi.nlm.nih.gov/pubmed/?term=23732278		
AK001796	AK001796.1	https://www.ncbi.nlm.nih.gov/nuccore/AK001796.1	N/A	N/A	Lung Cancer	211980	http://www.omim.org/entry/211980?search=Lung%20Adenocarcinoma&highlight=lung%20pulmonary%20adenocarcinomatous%20adenocarcinoma%20pulmonic	Resveratrol	C03582	http://www.kegg.jp/dbget-bin/www_bget?C03582	DB02709	https://www.drugbank.ca/drugs/DB02709	45713	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=45713	Resveratrol treatment	A549 cell lines	Human	AK001796 was overexpressed in lung cancer tissues and cell lines, but its expression was downregulated in resveratrol-treated lung cancer cells.	25888808	https://www.ncbi.nlm.nih.gov/pubmed/?term=25888808		
AK022798	AK022798.1	https://www.ncbi.nlm.nih.gov/nuccore/AK022798.1	N/A	N/A	Gastric Cancer	613659	http://www.omim.org/entry/613659?search=Gastric%20Cancer&highlight=gastric%20cancerous%20cancer	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	SGC7901/DDP and BGC823/DDP cell lines	Human	The expression of MRP1 and P-glycoprotein decreased significantly in SGC7901/DDP and BGC823/DDP cells when  used siRNA to interfere with lncRNA AK022798 expression.	25763542	https://www.ncbi.nlm.nih.gov/pubmed/?term=25763542		
AK027193	AK027193.1	https://www.ncbi.nlm.nih.gov/nuccore/AK027193.1	N/A	N/A	Cardiovascular Disease	N/A	N/A	Clopidogrel	D00769	http://www.genome.jp/dbget-bin/www_bget?drug:D00769	DB00758	https://www.drugbank.ca/drugs/DB00758	37941	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=37941	Clopidogrel treatment	HUVEC cell line	Human	down-regulated	25761653	https://www.ncbi.nlm.nih.gov/pubmed/?term=25761653		
AK028326	AK028326.1	https://www.ncbi.nlm.nih.gov/nuccore/AK028326	N/A	N/A	Osteoblast Differentiation	N/A	N/A	High Glucose	C00293	http://www.genome.jp/dbget-bin/www_bget?cpd:C00293	N/A	N/A	17234	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234	High Glucose exposure	mesenchymal stem cells (MSCs)	Human	"HG suppressed the expression of AK028326 and CXCL13 in MSCs in a
time-dependent manner, and also the mineralization, ALP activity, and osteogenic 
gene expression, which could be reversed by overexpression of AK028326 or CXCL13."	27693963	https://www.ncbi.nlm.nih.gov/pubmed/?term=27693963		
AK028326	AK028326.1	https://www.ncbi.nlm.nih.gov/nuccore/AK028326	N/A	N/A	Osteoblast Differentiation	N/A	N/A	High Glucose	C00293	http://www.genome.jp/dbget-bin/www_bget?cpd:C00293	N/A	N/A	17234	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234	High Glucose exposure	mesenchymal stem cells (MSCs)	Human	"HG suppressed the expression of AK028326 and CXCL13 in MSCs in a
time-dependent manner, and also the mineralization, ALP activity, and osteogenic 
gene expression, which could be reversed by overexpression of AK028326 or CXCL13."	27693963	https://www.ncbi.nlm.nih.gov/pubmed/?term=27693963		
AK055347	AK055347.1	https://www.ncbi.nlm.nih.gov/nuccore/AK055347.1	N/A	N/A	Cardiovascular Disease	N/A	N/A	Clopidogrel	D00769	http://www.genome.jp/dbget-bin/www_bget?drug:D00769	DB00758	https://www.drugbank.ca/drugs/DB00758	37941	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=37941	Clopidogrel treatment	HUVEC cell line	Human	down-regulated	25761653	https://www.ncbi.nlm.nih.gov/pubmed/?term=25761653		
AK056098	AK056098.1	https://www.ncbi.nlm.nih.gov/nuccore/AK056098.1	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Curcumin	C10443	http://www.kegg.jp/dbget-bin/www_bget?C10443	DB11672	https://www.drugbank.ca/drugs/DB11672	3962	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=3962	Curcumin treatment	CNE-2 cell line	Human	6 IR-induced and Cur-reversed differentially expressed lncRNAs were confirmed by qPCR. 	24379026	https://www.ncbi.nlm.nih.gov/pubmed/?term=24379026		
AK056098	AK056098.1	https://www.ncbi.nlm.nih.gov/nuccore/AK056098.1	N/A	N/A	Nasopharyngeal Carcinoma	617075	http://www.omim.org/entry/617075?search=Nasopharyngeal%20Carcinoma&highlight=nasopharynx%20nasopharyngeal%20carcinomatous%20carcinoma	Radiation	N/A	N/A	N/A	N/A	N/A	N/A	Radiation treatment	CNE-2 cell line	Human	6 IR-induced and Cur-reversed differentially expressed lncRNAs were confirmed by qPCR. 	24379026	https://www.ncbi.nlm.nih.gov/pubmed/?term=24379026		
AK056155	AK056155.1	https://www.ncbi.nlm.nih.gov/nuccore/AK056155.1	N/A	N/A	Loeys-Dietz syndrome	609192	http://www.omim.org/entry/609192?search=Loeys-Dietz%20syndrome&highlight=loey%20loeysdietz%20syndrome%20dietz%20syndromic	AKT inhibitor (GDC-0068)?	N/A	N/A	N/A	N/A	N/A	N/A	GDC-0068 treatment	human umbilical vascular endothelial cells (HUVECs)	Human	When used AKT inhibitor (GDC-0068) to treat the HUVECs, the expression of LncRNA AK056155?was reduced.?	26617788	https://www.ncbi.nlm.nih.gov/pubmed/?term=26617788		
AK056155	AK056155.1	https://www.ncbi.nlm.nih.gov/nuccore/AK056155.1	N/A	N/A	Loeys-Dietz syndrome	609192	http://www.omim.org/entry/609192?search=Loeys-Dietz%20syndrome&highlight=loey%20loeysdietz%20syndrome%20dietz%20syndromic	PI3K inhibitor (LY294002)?	C15195	http://www.genome.jp/dbget-bin/www_bget?cpd:C15195	DB02656	https://www.drugbank.ca/drugs/DB02656	65329	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65329	LY294002 treatment	human umbilical vascular endothelial cells (HUVECs)	Human	When used PI3K inhibitor (LY294002) to treat the HUVECs, the expression of LncRNAAK056155?was significant decreased.?	26617788	https://www.ncbi.nlm.nih.gov/pubmed/?term=26617788		
AK058003	AK058003.1	https://www.ncbi.nlm.nih.gov/nuccore/AK058003.1	N/A	N/A	Gastric Cancer	613659	http://www.omim.org/entry/613659?search=Gastric%20Cancer&highlight=gastric%20cancerous%20cancer	Hypoxia	N/A	N/A	N/A	N/A	N/A	N/A	Hypoxia treatment	SGC7901 and MKN45 cell lines	Human	up-regulated	25499222	https://www.ncbi.nlm.nih.gov/pubmed/?term=25499222		
